,,200,2000,600
19/09:00:28,255.4,255.2553428,255.2823418,255.2614297
19/09:00:28,255.4,255.2567822,255.2824594,255.2618908
19/09:00:28,255.4,255.2582072,255.2825768,255.2623504
19/09:00:28,255.4,255.2596181,255.2826942,255.2628085
19/09:00:28,255.4,255.2610149,255.2828115,255.263265
19/09:00:28,255.4,255.2623979,255.2829286,255.26372
19/09:00:28,255.4,255.263767,255.2830456,255.2641736
19/09:00:28,255.35,255.2646251,255.2831125,255.2644592
19/09:00:28,255.35,255.2654746,255.2831794,255.2647438
19/09:00:28,255.35,255.2663156,255.2832462,255.2650275
19/09:00:28,255.35,255.2671483,255.2833129,255.2653103
19/09:00:28,255.35,255.2679727,255.2833795,255.2655921
19/09:00:28,255.4,255.2692864,255.2834961,255.2660394
19/09:00:28,255.4,255.270587,255.2836125,255.2664852
19/09:00:29,255.4,255.2718747,255.2837289,255.2669295
19/09:00:29,255.4,255.2731496,255.2838451,255.2673724
19/09:00:29,255.4,255.2744118,255.2839612,255.2678137
19/09:00:29,255.4,255.2756614,255.2840772,255.2682536
19/09:00:29,255.4,255.2768986,255.284193,255.268692
19/09:00:29,255.35,255.277626,255.2842588,255.2689626
19/09:00:29,255.4,255.2788437,255.2843745,255.2693987
19/09:00:29,255.45,255.2805467,255.28454,255.2699997
19/09:00:29,255.45,255.2822328,255.2847054,255.2705987
19/09:00:29,255.4,255.2834046,255.2848206,255.2710293
19/09:00:29,255.45,255.2850623,255.2849857,255.2716249
19/09:00:29,255.4,255.286206,255.2851007,255.2720521
19/09:00:30,255.35,255.2868407,255.2851656,255.2723115
19/09:00:30,255.35,255.2874692,255.2852304,255.27257
19/09:00:30,255.4,255.2885889,255.2853451,255.2729941
19/09:00:30,255.4,255.2896974,255.2854597,255.2734167
19/09:00:31,255.35,255.2902975,255.2855242,255.2736716
19/09:00:31,255.35,255.2908915,255.2855886,255.2739256
19/09:00:31,255.35,255.2914797,255.285653,255.2741787
19/09:00:31,255.3,255.2915645,255.2856673,255.2742646
19/09:00:31,255.35,255.2921459,255.2857316,255.2745167
19/09:00:31,255.3,255.2922241,255.2857459,255.2746015
19/09:00:31,255.3,255.2923014,255.2857602,255.274686
19/09:00:31,255.3,255.292378,255.2857744,255.2747702
19/09:00:31,255.25,255.2919564,255.2857386,255.2746878
19/09:00:31,255.3,255.2920364,255.2857529,255.274772
19/09:00:31,255.3,255.2921156,255.2857671,255.274856
19/09:00:31,255.3,255.2921941,255.2857813,255.2749397
19/09:00:31,255.35,255.2927693,255.2858455,255.2751895
19/09:00:31,255.4,255.2938362,255.2859596,255.2756048
19/09:00:31,255.4,255.2948926,255.2860736,255.2760188
19/09:00:31,255.4,255.2959384,255.2861875,255.2764313
19/09:00:31,255.4,255.2969739,255.2863012,255.2768426
19/09:00:32,255.35,255.2975015,255.2863649,255.277086
